GeneID,TF_Family,TFID
Zm00001d033353,AP2-EREBP,EREB142
Zm00001d020540,AP2-EREBP,EREB143
Zm00001d016260,AP2-EREBP,EREB144
Zm00001d036889,AP2-EREBP,EREB145
Zm00001d009573,AP2-EREBP,EREB146
Zm00001d043205,AP2-EREBP,EREB147
Zm00001d009103,AP2-EREBP,EREB148
Zm00001d025281,AP2-EREBP,EREB149
Zm00001d052026,AP2-EREBP,EREB15
Zm00001d031501,AP2-EREBP,EREB150
Zm00001d022488,AP2-EREBP,EREB151
Zm00001d046913,AP2-EREBP,EREB152
Zm00001d019096,AP2-EREBP,EREB153
Zm00001d002867,AP2-EREBP,EREB154
Zm00001d052365,AP2-EREBP,EREB155
Zm00001d026447,AP2-EREBP,EREB156
Zm00001d016848,AP2-EREBP,EREB157
Zm00001d043204,AP2-EREBP,EREB158
Zm00001d034605,AP2-EREBP,EREB159
Zm00001d017592,AP2-EREBP,EREB16
Zm00001d045044,AP2-EREBP,EREB160
Zm00001d038907,AP2-EREBP,EREB162
Zm00001d024468,AP2-EREBP,EREB163
Zm00001d038001,AP2-EREBP,EREB164
Zm00001d039019,AP2-EREBP,EREB165
Zm00001d019098,AP2-EREBP,EREB166
Zm00001d032095,AP2-EREBP,EREB167
Zm00001d030862,AP2-EREBP,EREB168
Zm00001d031498,AP2-EREBP,EREB169
Zm00001d052229,AP2-EREBP,EREB17
Zm00001d051239,AP2-EREBP,EREB170
Zm00001d038087,AP2-EREBP,EREB171
Zm00001d031796,AP2-EREBP,EREB172
Zm00001d047860,AP2-EREBP,EREB173
Zm00001d042717,AP2-EREBP,EREB174
Zm00001d045262,AP2-EREBP,EREB175
Zm00001d051355,AP2-EREBP,EREB176
Zm00001d019734,AP2-EREBP,EREB177
Zm00001d016623,AP2-EREBP,EREB178
Zm00001d027924,AP2-EREBP,EREB179
Zm00001d018081,AP2-EREBP,EREB18
Zm00001d027925,AP2-EREBP,EREB180
Zm00001d027928,AP2-EREBP,EREB181
Zm00001d027929,AP2-EREBP,EREB182
Zm00001d007119,AP2-EREBP,EREB183
Zm00001d034204,AP2-EREBP,EREB184
Zm00001d002747,AP2-EREBP,EREB185
Zm00001d008872,AP2-EREBP,EREB186
Zm00001d018050,AP2-EREBP,EREB187
Zm00001d029679,AP2-EREBP,EREB188
Zm00001d019744,AP2-EREBP,EREB189
Zm00001d036536,AP2-EREBP,EREB19
Zm00001d026486,AP2-EREBP,EREB190
Zm00001d016262,AP2-EREBP,EREB191
Zm00001d039989,AP2-EREBP,EREB192
Zm00001d040651,AP2-EREBP,EREB193
Zm00001d017462,AP2-EREBP,EREB195
Zm00001d038585,AP2-EREBP,EREB196
Zm00001d002075,AP2-EREBP,EREB197
Zm00001d002762,AP2-EREBP,EREB198
Zm00001d032077,AP2-EREBP,EREB199
Zm00001d026191,AP2-EREBP,EREB2
Zm00001d052405,AP2-EREBP,EREB20
Zm00001d022461,AP2-EREBP,EREB200
Zm00001d021892,AP2-EREBP,EREB201
Zm00001d005798,AP2-EREBP,EREB202
Zm00001d046651,AP2-EREBP,EREB203
Zm00001d032295,AP2-EREBP,EREB204
Zm00001d026271,AP2-EREBP,EREB205
Zm00001d017207,AP2-EREBP,EREB206
Zm00001d045120,AP2-EREBP,EREB207
Zm00001d044004,AP2-EREBP,EREB208
Zm00001d049364,AP2-EREBP,EREB209
Zm00001d025409,AP2-EREBP,EREB21
Zm00001d007033,AP2-EREBP,EREB210
Zm00001d005892,AP2-EREBP,EREB211
Zm00001d026448,AP2-EREBP,EREB212
Zm00001d010048,AP2-EREBP,EREB22
Zm00001d021207,AP2-EREBP,EREB23
Zm00001d002025,AP2-EREBP,EREB24
Zm00001d036298,AP2-EREBP,EREB25
Zm00001d028919,AP2-EREBP,EREB26
Zm00001d037165,AP2-EREBP,EREB27
Zm00001d023535,AP2-EREBP,EREB28
Zm00001d012584,AP2-EREBP,EREB29
Zm00001d006169,AP2-EREBP,EREB3
Zm00001d017477,AP2-EREBP,EREB30
Zm00001d044857,AP2-EREBP,EREB31
Zm00001d050787,AP2-EREBP,EREB32
Zm00001d045378,AP2-EREBP,EREB33
Zm00001d039077,AP2-EREBP,EREB34
Zm00001d028070,AP2-EREBP,EREB35
Zm00001d021205,AP2-EREBP,EREB36
Zm00001d015305,AP2-EREBP,EREB37
Zm00001d027870,AP2-EREBP,EREB38
Zm00001d046292,AP2-EREBP,EREB39
Zm00001d028524,AP2-EREBP,EREB4
Zm00001d007840,AP2-EREBP,EREB41
Zm00001d038584,AP2-EREBP,EREB42
Zm00001d007236,AP2-EREBP,EREB43
Zm00001d029884,AP2-EREBP,EREB44
Zm00001d002011,AP2-EREBP,EREB45
Zm00001d015759,AP2-EREBP,EREB46
Zm00001d002079,AP2-EREBP,EREB47
Zm00001d048296,AP2-EREBP,EREB48
Zm00001d009468,AP2-EREBP,EREB49
Zm00001d051350,AP2-EREBP,EREB5
Zm00001d039324,AP2-EREBP,EREB50
Zm00001d024436,AP2-EREBP,EREB51
Zm00001d042588,AP2-EREBP,EREB52
Zm00001d042492,AP2-EREBP,EREB53
Zm00001d024324,AP2-EREBP,EREB54
Zm00001d046621,AP2-EREBP,EREB55
Zm00001d036003,AP2-EREBP,EREB56
Zm00001d052102,AP2-EREBP,EREB57
Zm00001d034920,AP2-EREBP,EREB58
Zm00001d002744,AP2-EREBP,EREB6
Zm00001d032144,AP2-EREBP,EREB60
Zm00001d002760,AP2-EREBP,EREB61
Zm00001d006653,AP2-EREBP,EREB62
Zm00001d042593,AP2-EREBP,EREB63
Zm00001d019216,AP2-EREBP,EREB64
Zm00001d006170,AP2-EREBP,EREB65
Zm00001d017478,AP2-EREBP,EREB66
Zm00001d047339,AP2-EREBP,EREB67
Zm00001d002620,AP2-EREBP,EREB68
Zm00001d037941,AP2-EREBP,EREB69
Zm00001d052167,AP2-EREBP,EREB7
Zm00001d049309,AP2-EREBP,EREB70
Zm00001d048208,AP2-EREBP,EREB71
Zm00001d035835,AP2-EREBP,EREB72
Zm00001d014113,AP2-EREBP,EREB74
Zm00001d017366,AP2-EREBP,EREB76
Zm00001d043116,AP2-EREBP,EREB77
Zm00001d049903,AP2-EREBP,EREB78
Zm00001d031728,AP2-EREBP,EREB79
Zm00001d053707,AP2-EREBP,EREB8
Zm00001d011499,AP2-EREBP,EREB80
Zm00001d035512,AP2-EREBP,EREB81
Zm00001d019116,AP2-EREBP,EREB82
Zm00001d012585,AP2-EREBP,EREB83
Zm00001d038216,AP2-EREBP,EREB84
Zm00001d005016,AP2-EREBP,EREB85
Zm00001d025910,AP2-EREBP,EREB86
Zm00001d002761,AP2-EREBP,EREB87
Zm00001d021214,AP2-EREBP,EREB88
Zm00001d049889,AP2-EREBP,EREB89
Zm00001d037531,AP2-EREBP,EREB9
Zm00001d018305,AP2-EREBP,EREB90
Zm00001d003871,AP2-EREBP,EREB91
Zm00001d000339,AP2-EREBP,EREB92
Zm00001d010676,AP2-EREBP,EREB93
Zm00001d020043,AP2-EREBP,EREB94
Zm00001d027687,AP2-EREBP,EREB95
Zm00001d008968,AP2-EREBP,EREB96
Zm00001d002364,AP2-EREBP,EREB97
Zm00001d053859,AP2-EREBP,EREB98
Zm00001d049058,AP2-EREBP,EREB99
Zm00001d028472,FAR1-like,FARL1
Zm00001d021545,FAR1-like,FARL10
Zm00001d021617,FAR1-like,FARL11
Zm00001d021799,FAR1-like,FARL12
Zm00001d022142,FAR1-like,FARL13
Zm00001d046441,FAR1-like,FARL14
Zm00001d034282,FAR1-like,FARL2
Zm00001d034813,FAR1-like,FARL3
Zm00001d039612,FAR1-like,FARL4
Zm00001d041923,FAR1-like,FARL5
Zm00001d049493,FAR1-like,FARL6
Zm00001d016772,FAR1-like,FARL7
Zm00001d017164,FAR1-like,FARL8
Zm00001d017165,FAR1-like,FARL9
Zm00001d005005,C2C2-GATA,GATA1
Zm00001d048391,C2C2-GATA,GATA10
Zm00001d002811,C2C2-GATA,GATA11
Zm00001d037605,C2C2-GATA,GATA12
Zm00001d012757,C2C2-GATA,GATA13
Zm00001d053949,C2C2-GATA,GATA14
Zm00001d016361,C2C2-GATA,GATA15
Zm00001d029896,C2C2-GATA,GATA16
Zm00001d011771,C2C2-GATA,GATA17
Zm00001d034751,C2C2-GATA,GATA18
Zm00001d025988,C2C2-GATA,GATA19
Zm00001d009193,C2C2-GATA,GATA2
Zm00001d039113,C2C2-GATA,GATA20
Zm00001d009604,C2C2-GATA,GATA21
Zm00001d034386,C2C2-GATA,GATA23
Zm00001d018421,C2C2-GATA,GATA24
Zm00001d038801,C2C2-GATA,GATA25
Zm00001d009668,C2C2-GATA,GATA26
Zm00001d040775,C2C2-GATA,GATA27
Zm00001d047081,C2C2-GATA,GATA28
Zm00001d046354,C2C2-GATA,GATA29
Zm00001d017409,C2C2-GATA,GATA3
Zm00001d052431,C2C2-GATA,GATA30
Zm00001d041883,C2C2-GATA,GATA31
Zm00001d010785,C2C2-GATA,GATA32
Zm00001d023540,C2C2-GATA,GATA33
Zm00001d033945,C2C2-GATA,GATA34
Zm00001d043969,C2C2-GATA,GATA35
Zm00001d053940,C2C2-GATA,GATA36
Zm00001d051981,C2C2-GATA,GATA4
Zm00001d002790,C2C2-GATA,GATA5
Zm00001d025953,C2C2-GATA,GATA6
Zm00001d023539,C2C2-GATA,GATA7
Zm00001d023541,C2C2-GATA,GATA8
Zm00001d031135,C2C2-GATA,GATA9
Zm00001d035224,GeBP,GBP1
Zm00001d037158,GeBP,GBP10
Zm00001d024905,GeBP,GBP11
Zm00001d022266,GeBP,GBP12
Zm00001d035295,GeBP,GBP13
Zm00001d053298,GeBP,GBP14
Zm00001d035234,GeBP,GBP15
Zm00001d018198,GeBP,GBP16
Zm00001d018208,GeBP,GBP17
Zm00001d029287,GeBP,GBP18
Zm00001d013138,GeBP,GBP19
Zm00001d049991,GeBP,GBP20
Zm00001d040254,GeBP,GBP21
Zm00001d033706,GeBP,GBP3
Zm00001d044953,GeBP,GBP4
Zm00001d013451,GeBP,GBP5
Zm00001d006945,GeBP,GBP6
Zm00001d020688,GeBP,GBP7
Zm00001d005865,GeBP,GBP8
Zm00001d047421,GeBP,GBP9
Zm00001d020019,G2-like,GLK1
Zm00001d017726,G2-like,GLK11
Zm00001d036802,G2-like,GLK12
Zm00001d039260,G2-like,GLK13
Zm00001d039637,G2-like,GLK14
Zm00001d019536,G2-like,GLK15
Zm00001d001936,G2-like,GLK16
Zm00001d029020,G2-like,GLK17
Zm00001d015226,G2-like,GLK18
Zm00001d040630,G2-like,GLK19
Zm00001d046174,G2-like,GLK2
Zm00001d017563,G2-like,GLK20
Zm00001d020384,G2-like,GLK21
Zm00001d049511,G2-like,GLK22
Zm00001d033310,G2-like,GLK23
Zm00001d015521,G2-like,GLK24
Zm00001d010634,G2-like,GLK25
Zm00001d028984,G2-like,GLK26
Zm00001d007962,G2-like,GLK27
Zm00001d018697,G2-like,GLK28
Zm00001d051527,G2-like,GLK29
Zm00001d010280,G2-like,GLK3
Zm00001d048448,G2-like,GLK30
Zm00001d036638,G2-like,GLK31
Zm00001d046981,G2-like,GLK32
Zm00001d037015,G2-like,GLK33
Zm00001d046947,G2-like,GLK34
Zm00001d005087,G2-like,GLK35
Zm00001d002439,G2-like,GLK36
Zm00001d002649,G2-like,GLK37
Zm00001d032384,G2-like,GLK38
Zm00001d016175,G2-like,GLK39
Zm00001d023402,G2-like,GLK4
Zm00001d032249,G2-like,GLK40
Zm00001d026106,G2-like,GLK41
Zm00001d041376,G2-like,GLK42
Zm00001d038527,G2-like,GLK43
Zm00001d034160,G2-like,GLK44
Zm00001d032784,G2-like,GLK45
Zm00001d050350,G2-like,GLK46
Zm00001d017702,G2-like,GLK47
Zm00001d027492,G2-like,GLK48
Zm00001d050404,G2-like,GLK49
Zm00001d023411,G2-like,GLK5
Zm00001d030911,G2-like,GLK50
Zm00001d038191,G2-like,GLK51
Zm00001d026542,G2-like,GLK52
Zm00001d015407,G2-like,GLK53
Zm00001d042892,G2-like,GLK54
Zm00001d024532,G2-like,GLK55
Zm00001d011785,G2-like,GLK56
Zm00001d044785,G2-like,GLK57
Zm00001d038546,G2-like,GLK58
Zm00001d022526,G2-like,GLK59
Zm00001d032190,G2-like,GLK6
Zm00001d020020,G2-like,GLK7
Zm00001d013202,G2-like,GLK8
Zm00001d030891,G2-like,GLK9
Zm00001d047813,GRAS,GRAS1
Zm00001d017513,GRAS,GRAS10
Zm00001d021998,GRAS,GRAS11
Zm00001d044065,GRAS,GRAS12
Zm00001d052464,GRAS,GRAS13
Zm00001d007713,GRAS,GRAS14
Zm00001d033166,GRAS,GRAS16
Zm00001d015815,GRAS,GRAS17
Zm00001d035873,GRAS,GRAS18
Zm00001d021973,GRAS,GRAS19
Zm00001d011881,GRAS,GRAS2
Zm00001d009646,GRAS,GRAS20
Zm00001d030500,GRAS,GRAS21
Zm00001d026050,GRAS,GRAS22
Zm00001d042907,GRAS,GRAS23
Zm00001d052463,GRAS,GRAS24
Zm00001d003657,GRAS,GRAS25
Zm00001d029474,GRAS,GRAS27
Zm00001d049249,GRAS,GRAS28
Zm00001d023248,GRAS,GRAS29
Zm00001d030744,GRAS,GRAS3
Zm00001d025133,GRAS,GRAS30
Zm00001d002718,GRAS,GRAS31
Zm00001d045589,GRAS,GRAS32
Zm00001d029855,GRAS,GRAS33
Zm00001d048604,GRAS,GRAS34
Zm00001d002023,GRAS,GRAS35
Zm00001d030838,GRAS,GRAS36
Zm00001d005029,GRAS,GRAS37
Zm00001d021946,GRAS,GRAS38
Zm00001d017129,GRAS,GRAS39
Zm00001d042127,GRAS,GRAS4
Zm00001d034664,GRAS,GRAS40
Zm00001d048199,GRAS,GRAS41
Zm00001d045507,GRAS,GRAS42
Zm00001d048600,GRAS,GRAS43
Zm00001d013465,GRAS,GRAS44
Zm00001d041498,GRAS,GRAS47
Zm00001d048588,GRAS,GRAS48
Zm00001d006551,GRAS,GRAS49
Zm00001d041919,GRAS,GRAS5
Zm00001d041536,GRAS,GRAS50
Zm00001d003553,GRAS,GRAS51
Zm00001d002573,GRAS,GRAS52
Zm00001d027292,GRAS,GRAS53
Zm00001d021826,GRAS,GRAS54
Zm00001d013385,GRAS,GRAS55
Zm00001d038518,GRAS,GRAS56
Zm00001d035670,GRAS,GRAS57
Zm00001d029607,GRAS,GRAS58
Zm00001d048624,GRAS,GRAS59
Zm00001d011070,GRAS,GRAS6
Zm00001d035671,GRAS,GRAS60
Zm00001d028526,GRAS,GRAS61
Zm00001d038609,GRAS,GRAS62
Zm00001d022034,GRAS,GRAS63
Zm00001d007248,GRAS,GRAS64
Zm00001d033834,GRAS,GRAS65
Zm00001d028603,GRAS,GRAS67
Zm00001d048601,GRAS,GRAS68
Zm00001d038225,GRAS,GRAS69
Zm00001d042472,GRAS,GRAS7
Zm00001d046783,GRAS,GRAS70
Zm00001d047123,GRAS,GRAS71
Zm00001d048602,GRAS,GRAS72
Zm00001d006744,GRAS,GRAS73
Zm00001d047266,GRAS,GRAS74
Zm00001d006701,GRAS,GRAS75
Zm00001d051461,GRAS,GRAS76
Zm00001d037901,GRAS,GRAS77
Zm00001d052380,GRAS,GRAS78
Zm00001d026158,GRAS,GRAS79
Zm00001d033680,GRAS,GRAS8
Zm00001d051387,GRAS,GRAS80
Zm00001d022116,GRAS,GRAS81
Zm00001d048682,GRAS,GRAS82
Zm00001d048603,GRAS,GRAS83
Zm00001d048681,GRAS,GRAS84
Zm00001d006721,GRAS,GRAS85
Zm00001d023247,GRAS,GRAS86
Zm00001d053163,GRAS,GRAS9
Zm00001d033876,GRF,GRF1
Zm00001d052112,GRF,GRF10
Zm00001d037117,GRF,GRF11
Zm00001d000238,GRF,GRF12
Zm00001d017602,GRF,GRF13
Zm00001d013346,GRF,GRF14
Zm00001d007465,GRF,GRF15
Zm00001d006348,GRF,GRF2
Zm00001d021362,GRF,GRF3
Zm00001d033396,GRF,GRF4
Zm00001d026240,GRF,GRF5
Zm00001d017742,GRF,GRF6
Zm00001d035965,GRF,GRF7
Zm00001d002429,GRF,GRF8
Zm00001d051456,GRF,GRF9
Zm00001d033859,Homeobox,HB1
Zm00001d029736,Homeobox,HB100
Zm00001d008942,Homeobox,HB101
Zm00001d027852,Homeobox,HB102
Zm00001d010758,Homeobox,HB103
Zm00001d026088,Homeobox,HB104
Zm00001d033379,Homeobox,HB105
Zm00001d047559,Homeobox,HB106
Zm00001d006687,Homeobox,HB107
Zm00001d012516,Homeobox,HB109
Zm00001d020670,Homeobox,HB11
Zm00001d033404,Homeobox,HB110
Zm00001d013560,Homeobox,HB111
Zm00001d032316,Homeobox,HB112
Zm00001d037895,Homeobox,HB114
Zm00001d051749,Homeobox,HB115
Zm00001d043076,Homeobox,HB116
Zm00001d039017,Homeobox,HB117
Zm00001d043231,Homeobox,HB118
Zm00001d031061,Homeobox,HB119
Zm00001d048227,Homeobox,HB12
Zm00001d020804,Homeobox,HB120
Zm00001d030191,Homeobox,HB121
Zm00001d026537,Homeobox,HB122
Zm00001d010060,Homeobox,HB123
Zm00001d004889,Homeobox,HB125
Zm00001d006195,Homeobox,HB126
Zm00001d030532,Homeobox,HB127
Zm00001d021268,Homeobox,HB128
Zm00001d031745,Homeobox,HB129
Zm00001d021934,Homeobox,HB13
Zm00001d028986,Homeobox,HB130
Zm00001d005584,Homeobox,HB131
Zm00001d018742,Homeobox,HB132
Zm00001d048527,Homeobox,HB133
Zm00001d021236,Homeobox,HB14
Zm00001d030069,Homeobox,HB15
Zm00001d010998,Homeobox,HB16
Zm00001d000247,Homeobox,HB17
Zm00001d024701,Homeobox,HB18
Zm00001d012330,Homeobox,HB19
Zm00001d016298,Homeobox,HB2
Zm00001d046223,Homeobox,HB21
Zm00001d048312,Homeobox,HB22
Zm00001d010948,Homeobox,HB23
Zm00001d000303,Homeobox,HB24
Zm00001d041489,Homeobox,HB25
Zm00001d008612,Homeobox,HB26
Zm00001d015671,Homeobox,HB27
Zm00001d015265,Homeobox,HB28
Zm00001d009562,Homeobox,HB29
Zm00001d039002,Homeobox,HB3
Zm00001d027435,Homeobox,HB30
Zm00001d040090,Homeobox,HB31
Zm00001d043452,Homeobox,HB32
Zm00001d033378,Homeobox,HB33
Zm00001d005692,Homeobox,HB34
Zm00001d018285,Homeobox,HB35
Zm00001d033898,Homeobox,HB36
Zm00001d013547,Homeobox,HB37
Zm00001d035907,Homeobox,HB38
Zm00001d035439,Homeobox,HB39
Zm00001d045400,Homeobox,HB4
Zm00001d042228,Homeobox,HB40
Zm00001d017422,Homeobox,HB41
Zm00001d014628,Homeobox,HB42
Zm00001d014630,Homeobox,HB43
Zm00001d014629,Homeobox,HB44
Zm00001d028304,Homeobox,HB45
Zm00001d044081,Homeobox,HB46
Zm00001d038811,Homeobox,HB47
Zm00001d042864,Homeobox,HB48
Zm00001d033005,Homeobox,HB49
Zm00001d027991,Homeobox,HB5
Zm00001d011537,Homeobox,HB50
Zm00001d027431,Homeobox,HB51
Zm00001d008869,Homeobox,HB52
Zm00001d002754,Homeobox,HB53
Zm00001d005951,Homeobox,HB54
Zm00001d020046,Homeobox,HB55
Zm00001d050834,Homeobox,HB56
Zm00001d004234,Homeobox,HB57
Zm00001d027317,Homeobox,HB58
Zm00001d005875,Homeobox,HB59
Zm00001d053151,Homeobox,HB6
Zm00001d036118,Homeobox,HB60
Zm00001d007842,Homeobox,HB61
Zm00001d047995,Homeobox,HB62
Zm00001d042821,Homeobox,HB63
Zm00001d027802,Homeobox,HB64
Zm00001d002799,Homeobox,HB66
Zm00001d001948,Homeobox,HB67
Zm00001d028129,Homeobox,HB68
Zm00001d032681,Homeobox,HB69
Zm00001d050310,Homeobox,HB7
Zm00001d025964,Homeobox,HB70
Zm00001d018225,Homeobox,HB71
Zm00001d046568,Homeobox,HB72
Zm00001d024410,Homeobox,HB73
Zm00001d040611,Homeobox,HB74
Zm00001d002234,Homeobox,HB75
Zm00001d038355,Homeobox,HB76
Zm00001d045398,Homeobox,HB77
Zm00001d029934,Homeobox,HB78
Zm00001d015549,Homeobox,HB79
Zm00001d034212,Homeobox,HB8
Zm00001d053749,Homeobox,HB80
Zm00001d036510,Homeobox,HB81
Zm00001d035535,Homeobox,HB82
Zm00001d052133,Homeobox,HB83
Zm00001d031182,Homeobox,HB84
Zm00001d043937,Homeobox,HB85
Zm00001d009802,Homeobox,HB86
Zm00001d046405,Homeobox,HB87
Zm00001d012419,Homeobox,HB89
Zm00001d012751,Homeobox,HB9
Zm00001d050487,Homeobox,HB90
Zm00001d026351,Homeobox,HB91
Zm00001d038812,Homeobox,HB92
Zm00001d007525,Homeobox,HB93
Zm00001d042920,Homeobox,HB94
Zm00001d033861,Homeobox,HB95
Zm00001d004230,Homeobox,HB96
Zm00001d049443,Homeobox,HB97
Zm00001d014201,Homeobox,HB98
Zm00001d043915,Homeobox,HB99
Zm00001d005888,HSF,HSF1
Zm00001d021263,HSF,HSF10
Zm00001d046204,HSF,HSF12
Zm00001d027757,HSF,HSF13
Zm00001d038746,HSF,HSF15
Zm00001d010812,HSF,HSF16
Zm00001d033987,HSF,HSF17
Zm00001d016255,HSF,HSF18
Zm00001d029270,HSF,HSF19
Zm00001d005843,HSF,HSF2
Zm00001d026094,HSF,HSF20
Zm00001d020714,HSF,HSF21
Zm00001d012823,HSF,HSF22
Zm00001d044168,HSF,HSF23
Zm00001d032923,HSF,HSF24
Zm00001d011406,HSF,HSF25
Zm00001d012749,HSF,HSF26
Zm00001d022295,HSF,HSF27
Zm00001d046299,HSF,HSF28
Zm00001d016520,HSF,HSF29
Zm00001d044259,HSF,HSF3
Zm00001d018941,HSF,HSF4
Zm00001d034886,HSF,HSF5
Zm00001d016674,HSF,HSF6
Zm00001d052738,HSF,HSF7
Zm00001d031736,HSF,HSF8
Zm00001d048041,HSF,HSF9
Zm00001d027678,LBD,LBD1
Zm00001d033335,LBD,LBD10
Zm00001d033347,LBD,LBD11
Zm00001d033466,LBD,LBD12
Zm00001d034384,LBD,LBD13
Zm00001d006739,LBD,LBD14
Zm00001d007919,LBD,LBD15
Zm00001d039694,LBD,LBD16
Zm00001d040004,LBD,LBD17
Zm00001d041205,LBD,LBD18
Zm00001d042560,LBD,LBD19
Zm00001d027679,LBD,LBD2
Zm00001d043036,LBD,LBD20
Zm00001d043311,LBD,LBD21
Zm00001d048889,LBD,LBD22
Zm00001d050269,LBD,LBD23
Zm00001d051891,LBD,LBD24
Zm00001d013625,LBD,LBD26
Zm00001d013732,LBD,LBD27
Zm00001d035498,LBD,LBD28
Zm00001d036032,LBD,LBD29
Zm00001d028413,LBD,LBD3
Zm00001d036435,LBD,LBD30
Zm00001d038013,LBD,LBD31
Zm00001d038197,LBD,LBD32
Zm00001d038717,LBD,LBD33
Zm00001d018832,LBD,LBD34
Zm00001d009823,LBD,LBD35
Zm00001d010264,LBD,LBD36
Zm00001d010749,LBD,LBD37
Zm00001d010751,LBD,LBD38
Zm00001d010978,LBD,LBD39
Zm00001d028721,LBD,LBD4
Zm00001d012180,LBD,LBD40
Zm00001d047752,LBD,LBD41
Zm00001d047921,LBD,LBD42
Zm00001d048401,LBD,LBD43
Zm00001d023316,LBD,LBD44
Zm00001d029506,LBD,LBD5
Zm00001d029602,LBD,LBD6
Zm00001d030364,LBD,LBD7
Zm00001d031544,LBD,LBD8
Zm00001d032286,LBD,LBD9
Zm00001d002449,FLO/LFY,LFY1
Zm00001d026231,FLO/LFY,LFY2
Zm00001d048474,MADS,MADS1
Zm00001d007949,MADS,MADS10
Zm00001d036425,MADS,MADS11
Zm00001d017614,MADS,MADS12
Zm00001d019213,MADS,MADS13
Zm00001d028217,MADS,MADS14
Zm00001d013259,MADS,MADS15
Zm00001d042618,MADS,MADS16
Zm00001d006668,MADS,MADS17
Zm00001d010233,MADS,MADS18
Zm00001d041781,MADS,MADS2
Zm00001d018587,MADS,MADS20
Zm00001d019189,MADS,MADS21
Zm00001d032218,MADS,MADS22
Zm00001d023955,MADS,MADS23
Zm00001d034047,MADS,MADS24
Zm00001d048894,MADS,MADS25
Zm00001d003168,MADS,MADS27
Zm00001d047742,MADS,MADS28
Zm00001d010232,MADS,MADS29
Zm00001d018667,MADS,MADS3
Zm00001d025479,MADS,MADS30
Zm00001d013258,MADS,MADS31
Zm00001d049692,MADS,MADS32
Zm00001d024389,MADS,MADS33
Zm00001d023736,MADS,MADS34
Zm00001d008882,MADS,MADS35
Zm00001d043589,MADS,MADS36
Zm00001d037737,MADS,MADS37
Zm00001d037212,MADS,MADS38
Zm00001d034045,MADS,MADS4
Zm00001d048697,MADS,MADS40
Zm00001d042591,MADS,MADS41
Zm00001d011323,MADS,MADS42
Zm00001d011748,MADS,MADS43
Zm00001d015381,MADS,MADS44
Zm00001d035053,MADS,MADS45
Zm00001d009198,MADS,MADS46
Zm00001d046053,MADS,MADS47
Zm00001d031591,MADS,MADS48
Zm00001d006094,MADS,MADS49
Zm00001d051465,MADS,MADS5
Zm00001d037126,MADS,MADS50
Zm00001d047355,MADS,MADS51
Zm00001d052648,MADS,MADS52
Zm00001d042550,MADS,MADS53
Zm00001d039913,MADS,MADS54
Zm00001d041587,MADS,MADS55
Zm00001d027425,MADS,MADS56
Zm00001d038015,MADS,MADS58
Zm00001d009628,MADS,MADS59
Zm00001d031620,MADS,MADS6
Zm00001d044850,MADS,MADS60
Zm00001d045231,MADS,MADS61
Zm00001d007891,MADS,MADS62
Zm00001d003409,MADS,MADS63
Zm00001d013792,MADS,MADS64
Zm00001d016650,MADS,MADS65
Zm00001d016791,MADS,MADS66
Zm00001d022088,MADS,MADS67
Zm00001d027957,MADS,MADS68
Zm00001d042315,MADS,MADS69
Zm00001d021057,MADS,MADS7
Zm00001d039080,MADS,MADS70
Zm00001d046323,MADS,MADS71
Zm00001d052180,MADS,MADS72
Zm00001d018142,MADS,MADS73
Zm00001d044899,MADS,MADS74
Zm00001d019214,MADS,MADS75
Zm00001d047356,MADS,MADS76
Zm00001d031625,MADS,MADS77
Zm00001d048082,MADS,MADS8
Zm00001d002332,MADS,MADS9
Zm00001d029242,mTERF,MTERF1
Zm00001d041537,mTERF,MTERF10
Zm00001d042436,mTERF,MTERF11
Zm00001d049743,mTERF,MTERF12
Zm00001d050886,mTERF,MTERF13
Zm00001d052081,mTERF,MTERF14
Zm00001d015585,mTERF,MTERF15
Zm00001d009338,mTERF,MTERF16
Zm00001d017130,mTERF,MTERF17
Zm00001d018065,mTERF,MTERF18
Zm00001d018066,mTERF,MTERF19
Zm00001d031533,mTERF,MTERF2
Zm00001d018124,mTERF,MTERF21
Zm00001d038158,mTERF,MTERF22
Zm00001d018756,mTERF,MTERF23
Zm00001d021376,mTERF,MTERF25
Zm00001d021513,mTERF,MTERF26
Zm00001d010329,mTERF,MTERF27
Zm00001d010340,mTERF,MTERF28
Zm00001d033138,mTERF,MTERF3
Zm00001d047442,mTERF,MTERF30
Zm00001d034669,mTERF,MTERF5
Zm00001d034784,mTERF,MTERF6
Zm00001d006629,mTERF,MTERF8
Zm00001d006700,mTERF,MTERF9
Zm00001d044975,MYB,MYB1
Zm00001d011645,MYB,MYB10
Zm00001d030644,MYB,MYB100
Zm00001d024725,MYB,MYB101
Zm00001d013931,MYB,MYB102
Zm00001d051269,MYB,MYB103
Zm00001d002750,MYB,MYB104
Zm00001d021761,MYB,MYB105
Zm00001d037334,MYB,MYB106
Zm00001d023287,MYB,MYB107
Zm00001d050185,MYB,MYB108
Zm00001d023931,MYB,MYB109
Zm00001d022628,MYB,MYB11
Zm00001d007191,MYB,MYB110
Zm00001d005784,MYB,MYB111
Zm00001d046632,MYB,MYB112
Zm00001d005307,MYB,MYB113
Zm00001d011739,MYB,MYB114
Zm00001d000361,MYB,MYB115
Zm00001d036577,MYB,MYB116
